Date,Open,High,Low,Close,Adj Close,Volume
05/17/2012,132.860001,133.020004,130.789993,130.860001,130.860001,247992900
05/18/2012,131.369995,131.600006,129.550003,129.740005,129.740005,319615900
05/21/2012,130.160004,132.020004,129.949997,131.970001,131.970001,177861100
05/22/2012,132.309998,133.229996,131.339996,132.199997,132.199997,197531200
05/23/2012,131.25,132.460007,129.990005,132.270004,132.270004,204958400
05/24/2012,132.630005,132.839996,131.419998,132.529999,132.529999,167357600
05/25/2012,132.479996,132.850006,131.779999,132.100006,132.100006,135465600
05/29/2012,133.160004,133.929993,131.169998,133.699997,133.699997,152883500
05/30/2012,132.559998,133.690002,131.490005,131.759995,131.759995,162370400
05/31/2012,131.710007,132.449997,130.339996,131.470001,131.470001,196186000
06/01/2012,129.410004,131.5,128.160004,128.160004,128.160004,253240900
06/04/2012,128.389999,128.740005,127.139999,128.100006,128.100006,202545800
06/05/2012,127.849998,129.259995,127.779999,129.070007,129.070007,164149400
06/06/2012,129.970001,132.029999,129.929993,131.970001,131.970001,184202800
06/07/2012,133.470001,133.529999,131.779999,132.050003,132.050003,184772700
06/08/2012,131.710007,133.130005,131.289993,133.100006,133.100006,143915400
06/11/2012,134.169998,134.25,131.279999,131.410004,131.410004,169756100
06/12/2012,131.789993,133.009995,131.160004,132.919998,132.919998,181931800
06/13/2012,132.529999,133.360001,131.619995,132.070007,132.070007,172223900
06/14/2012,132.339996,134,131.979996,133.470001,133.470001,230615500
06/15/2012,133.380005,134.259995,133.100006,134.139999,134.139999,169444500
06/18/2012,133.580002,134.729996,133.279999,134.399994,134.399994,131360900
06/19/2012,135.080002,136.25,134.369995,135.699997,135.699997,137382600
06/20/2012,135.710007,136.100006,134.270004,135.479996,135.479996,206451800
06/21/2012,135.639999,135.779999,132.330002,132.440002,132.440002,205272200
06/22/2012,133.130005,133.710007,132.619995,133.460007,133.460007,130029200
06/25/2012,132.050003,132.100006,130.850006,131.320007,131.320007,146375700
06/26/2012,131.699997,132.380005,130.929993,131.979996,131.979996,141634000
06/27/2012,132.419998,133.429993,131.970001,133.169998,133.169998,108088000
06/28/2012,132.289993,132.990005,131.279999,132.789993,132.789993,169242100
06/29/2012,135.199997,136.270004,134.850006,136.100006,136.100006,212250900
07/02/2012,136.479996,136.649994,135.520004,136.509995,136.509995,129524500
07/03/2012,136.479996,137.509995,136.339996,137.410004,137.410004,80450000
07/05/2012,136.899994,137.800003,136.289993,136.789993,136.789993,126177500
07/06/2012,135.470001,135.770004,134.850006,135.490005,135.490005,151192100
07/09/2012,135.380005,135.570007,134.699997,135.320007,135.320007,103780500
07/10/2012,136.009995,136.229996,133.679993,134.139999,134.139999,167884800
07/11/2012,134.210007,134.600006,133.380005,134.160004,134.160004,141733400
07/12/2012,133.380005,134.229996,132.600006,133.509995,133.509995,143583200
07/13/2012,133.860001,135.889999,133.839996,135.75,135.75,129642600
07/16/2012,135.440002,135.830002,134.899994,135.429993,135.429993,97525200
07/17/2012,135.970001,136.639999,134.550003,136.360001,136.360001,138860300
07/18/2012,136.039993,137.639999,135.960007,137.369995,137.369995,113349700
07/19/2012,137.649994,138.179993,137.210007,137.729996,137.729996,129847300
07/20/2012,136.949997,137.160004,136.320007,136.470001,136.470001,142904500
07/23/2012,134.470001,136.380005,133.839996,135.089996,135.089996,145210900
07/24/2012,135.190002,135.25,133.029999,133.929993,133.929993,173301200
07/25/2012,134.210007,134.559998,133.25,133.960007,133.960007,129122300
07/26/2012,135.889999,136.460007,135.259995,136.169998,136.169998,156526500
07/27/2012,136.889999,139.070007,136.139999,138.679993,138.679993,236768900
07/30/2012,138.520004,139.339996,138.270004,138.679993,138.679993,106782000
07/31/2012,138.490005,138.869995,137.710007,137.710007,137.710007,120575900
08/01/2012,138.699997,138.729996,137.399994,137.589996,137.589996,138293800
08/02/2012,136.550003,137.570007,135.580002,136.639999,136.639999,199556600
08/03/2012,138.559998,139.639999,136.679993,139.350006,139.350006,157825000
08/06/2012,139.720001,140.169998,139.559998,139.619995,139.619995,86326200
08/07/2012,140.179993,140.919998,140.029999,140.320007,140.320007,109545100
